Ch1,Ch2,Ch3,cluster
1467.47229,1144.96667,424.922119,0
1599.41418,1071.1709,438.192963,0
1672.087,982.7573,408.394348,0
1360.20825,1196.78784,404.429443,0
1506.17456,1011.53516,415.491364,0
1571.4696,1043.35913,464.804962,0
1502.70374,1225.04956,458.228821,0
1558.56287,873.3585,413.686554,0
1530.89478,1115.28259,399.26004,0
1609.02576,1092.80725,412.3763,0
1620.99268,997.547668,423.5947,0
1536.49487,1074.20178,439.794983,0
1599.29,1031.25757,429.512756,0
1431.61609,1115.11792,374.574066,0
1438.86328,1122.03369,8928.852,1000
1404.55652,2145.54858,436.963379,10000
4462.54443,1138.80615,439.385284,100000
1604.87341,1033.97827,412.905121,0
1425.01819,1121.47522,457.002838,0
1434.98389,1129.85071,353.828552,0
1516.02759,1135.07275,374.4361,0
1581.20581,1076.6156,408.683258,0
1348.922,2341.60986,432.454376,10000
1590.06555,1139.9071,420.404755,0
1537.41858,1057.13379,425.953674,0
1571.92078,1049.98523,416.3063,0
1567.16284,1132.715,455.425537,0
1575.7085,1073.9458,413.427429,0
1591.46448,1923.80908,8161.712,11000
4658.86035,967.282959,462.944641,100000
1453.03333,993.863831,427.057251,0
1494.2981,1160.15222,353.431641,0
1456.33887,2102.6,8668.943,11000
1510.39709,1007.24908,448.150543,0
1550.27063,2557.757,482.3677,10000
1605.89258,2027.91956,467.571533,10000
1567.43652,1010.44244,345.2227,0
1664.05188,1028.36938,465.70517,0
4464.159,1008.581,445.078644,100000
1564.49792,1077.89941,9158.544,1000
1447.35815,1067.34839,8928.704,1000
4577.149,866.332764,430.095245,100000
1532.4176,1058.80591,392.473328,0
1429.727,1121.48352,451.08844,0
1493.56921,1038.48193,419.637054,0
1498.51453,1078.229,419.270538,0
1440.19263,1983.71155,438.574219,10000
1590.61707,1112.195,423.250854,0
1564.63452,1032.93616,421.7649,0
1400.27417,1136.05872,408.516144,0
1601.73083,928.262268,397.8808,0
1585.06567,958.386169,483.562958,0
1518.03748,1048.08972,9330.67,1000
1480.01733,940.4876,400.1099,0
1633.30139,940.221741,387.254242,0
1458.57092,972.7166,390.237732,0
4290.69629,1203.71948,418.0267,100000
1484.9895,1003.65454,345.12326,0
1525.171,1049.68762,450.866241,0
1549.4054,1132.70154,401.923645,0
4612.464,883.5808,432.18988,100000
1460.48572,1145.03174,401.0786,0
1499.81,1088.10645,8906.92,1000
1542.76941,1048.80408,398.76178,0
4336.55,936.8982,386.003418,100000
1617.07483,1157.91931,455.7796,0
1516.50684,1075.46692,395.1767,0
1507.309,1034.94043,413.137573,0
1452.36072,2317.67017,467.6513,10000
1476.45374,2184.47388,466.403625,10000
1554.22144,1069.758,408.9181,0
1431.656,1031.6272,385.405029,0
1611.45,989.891663,404.378448,0
1511.47229,1100.84924,376.7555,0
1490.00891,1066.40173,397.5217,0
1531.82788,972.1925,9085.904,1000
4585.729,931.7355,474.341248,100000
1633.06165,1130.429,431.251648,0
1500.88525,1056.65051,431.869446,0
1488.19739,1110.51868,383.415,0
1480.44714,988.3067,8689.496,1000
1561.63184,1051.84106,370.313,0
1610.34412,1061.35071,449.594025,0
1411.37488,1030.09521,423.561768,0
1618.61328,1048.20129,408.531433,0
1459.905,1132.67212,8816.972,1000
1553.81836,978.400635,426.576721,0
1546.38574,1123.30981,410.339783,0
1422.02625,1091.47656,374.759827,0
1456.368,1039.06177,408.797943,0
1576.87622,983.378,403.968353,0
1526.26575,1083.38879,386.7915,0
1565.13647,1041.46545,386.4642,0
1409.66284,1055.80688,352.130981,0
1502.60925,1047.28357,458.701965,0
1607.32629,1100.71411,431.284973,0
4404.97266,1039.02869,433.738556,100000
1424.783,1077.90417,433.278076,0
1515.448,1048.63184,416.9155,0
1506.07959,1076.88013,427.645966,0
1521.235,1096.928,353.157776,0
1518.09644,1128.68469,410.517242,0
1474.07178,992.3549,421.849182,0
1542.20386,1020.3382,394.2808,0
1502.07239,1015.77515,365.179016,0
1419.88477,1121.256,377.820984,0
1579.99133,999.9115,461.124054,0
1634.0957,1106.98279,407.436829,0
1572.87708,2227.19116,499.396851,10000
4309.00439,1084.235,472.590485,100000
1468.461,994.8005,409.907074,0
1523.40125,947.432556,424.397369,0
1524.44214,1076.26648,468.13385,0
1538.8606,1017.297,380.6858,0
1492.06421,1005.83472,9183.239,1000
1540.70947,1041.81909,391.169159,0
1485.91785,1038.384,432.8272,0
4519.11,981.0247,410.509125,100000
1605.093,1033.19641,8903.624,1000
1505.478,1190.886,8805.98,1000
1482.67224,1141.59973,450.0872,0
1492.27112,2272.18726,451.4763,10000
1423.8147,2234.26563,421.2389,10000
1483.92786,1175.69287,454.174957,0
1498.46619,1140.34131,402.461945,0
4572.24072,1073.62854,471.415955,100000
1478.37476,2355.93945,478.9283,10000
1568.35059,1235.52307,393.6062,0
1423.76685,1147.0448,371.908752,0
1405.4054,955.9735,8316.538,1000
1448.81738,1136.8938,399.816345,0
1488.905,1049.90649,407.709717,0
1624.48987,1092.71753,411.728241,0
1475.89539,1083.36133,376.95343,0
4452.9585,2129.01172,9030.244,111000
1463.77356,1083.0166,350.241333,0
1553.24426,1054.58081,9031.171,1000
1456.47046,1017.83813,388.6224,0
1485.19,1185.77112,397.775055,0
1533.51318,1022.99744,399.939148,0
1504.02173,1004.68683,423.725067,0
1580.897,1014.46436,424.486053,0
1504.90613,1144.78247,394.846344,0
1476.23352,1087.86194,8803.328,1000
1464.03479,983.042969,398.078979,0
1487.48608,982.7439,9154.573,1000
1593.2395,1091.01,463.109436,0
1504.0647,1081.99573,417.314819,0
1589.644,1090.77612,395.272766,0
1430.87891,2263.83057,516.3098,10000
1531.05078,1036.4303,432.117157,0
1555.45923,1062.53992,397.790161,0
1635.01489,2213.18921,460.1761,10000
1489.06274,1007.33081,405.924683,0
1396.47815,1177.89636,406.094238,0
1589.96631,2204.827,458.548767,10000
1632.55383,1126.84668,419.396423,0
1478.392,1083.65088,410.050537,0
1492.52014,1119.417,427.350342,0
1509.459,1085.318,398.541718,0
1542.09973,898.3089,408.997925,0
4797.64941,962.7574,460.644135,100000
1592.21216,2051.6853,8600.67,11000
1554.55786,900.8309,421.000427,0
1473.61267,999.7595,373.791473,0
1514.27319,1007.83917,468.643768,0
1461.26636,2158.46143,486.429657,10000
1605.47815,1014.61548,399.707153,0
1612.317,1050.50171,374.091339,0
1520.19861,1060.76514,403.805084,0
1497.84277,1036.84253,391.9611,0
1523.55627,1130.64746,433.642,0
1611.31165,1003.82587,405.5514,0
1468.98535,2281.71924,485.569824,10000
1531.28015,996.9428,409.083252,0
1583.43726,939.4784,484.1632,0
4509.564,1036.92737,456.421143,100000
1568.696,1103.65552,387.5274,0
1462.82764,1073.64941,9212.908,1000
1525.30762,1197.74609,417.7369,0
1500.86584,1076.14832,397.296753,0
1464.26331,1076.57642,404.8651,0
1446.338,1037.23987,386.134338,0
1458.2345,1069.42786,455.594025,0
1490.28564,2356.40674,392.125824,10000
1548.12,1083.43909,474.146423,0
1604.63831,993.8125,8900.245,1000
1571.54175,1057.8446,422.790344,0
1439.62439,1021.78473,431.641418,0
1589.61755,1016.49719,389.974426,0
1658.98584,1053.938,393.928162,0
1542.05066,2104.85449,463.035858,10000
4422.55225,2171.47729,547.888367,110000
1523.49158,2206.95337,454.5597,10000
4451.02637,1036.04138,411.878265,100000
4488.66846,1103.52051,360.987762,100000
1473.07178,1059.80737,414.06665,0
4604.471,1146.16272,431.703033,100000
1674.15393,1003.04974,452.918671,0
1567.8551,1020.32349,413.731567,0
1527.504,1042.36926,408.550964,0
1491.511,1116.11035,404.918152,0
1563.9,986.5122,368.134033,0
1464.38416,1051.598,409.826752,0
1378.64673,2271.20654,466.891968,10000
1548.25989,1004.315,9152.495,1000
1555.892,968.8381,403.735748,0
1466.074,2336.69385,510.720551,10000
1478.73132,1028.14624,384.613373,0
1510.56592,1114.76367,422.4495,0
1533.47437,1102.99,413.751373,0
1531.246,1014.87085,414.4743,0
1517.32373,2236.7937,461.653229,10000
1615.90771,928.474,370.622253,0
1379.35925,1104.19519,377.922363,0
1552.74438,1049.422,417.833862,0
1447.078,1075.57971,436.168945,0
1701.57727,1142.44824,515.2225,0
1449.99841,2379.61768,444.053223,10000
4506.28467,1029.21033,9199.601,101000
1526.35962,1151.07092,401.8545,0
1577.59961,1011.173,450.711121,0
1534.91467,1034.142,421.040283,0
1533.52307,1015.2912,416.544159,0
1567.87463,1131.87048,403.915253,0
1530.70093,2117.63013,450.261169,10000
1525.59827,1072.97656,384.1271,0
1533.02124,977.4647,462.6742,0
1555.37524,1036.61572,408.5191,0
1481.29688,1142.09338,9174.561,1000
1487.5282,992.6481,434.140961,0
4340.75146,1110.68225,414.212921,100000
4315.943,1047.76123,447.146332,100000
1499.01111,2090.2356,456.8827,10000
4495.3916,1047.93286,415.315552,100000
1545.20532,1155.05,378.552,0
1544.22852,1118.24878,405.903229,0
1462.7146,1051.00012,427.510681,0
1467.50488,1070.96936,411.063232,0
1527.10889,1085.49817,410.9776,0
1622.99927,1057.34375,475.1706,0
1678.10681,1059.91077,398.572144,0
1669.63123,1049.20251,398.384735,0
1559.52551,1031.2533,398.0584,0
1583.88257,1053.07568,416.199036,0
1578.4,992.208252,406.815033,0
1584.93933,978.980652,465.9565,0
4409.443,1106.66956,9142.845,101000
1596.57861,996.025269,9083.535,1000
1530.27734,1177.774,395.2628,0
1493.73193,1081.52466,8799.087,1000
1449.94446,1132.66064,9131.154,1000
4635.56738,1015.39771,422.721283,100000
1542.65051,977.1472,477.822357,0
1636.10107,969.3386,393.645172,0
1590.21814,1077.20984,459.54895,0
1472.82275,1103.232,441.705841,0
1576.09375,1078.354,439.428131,0
1497.56421,1126.33142,448.909637,0
1524.97888,1078.8186,446.8435,0
1487.96277,1077.497,451.3692,0
1460.8208,2268.02686,461.335144,10000
1483.20593,1065.81885,436.743561,0
1636.3103,1031.34863,9431.311,1000
1603.70776,984.278748,452.596924,0
