Ch1,Cluster_1,droplet
4704.142,1,1
680.4099,0,2
657.161865,0,3
4368.09863,1,4
671.8885,0,5
646.3038,0,6
647.1995,0,7
575.372,0,8
619.1023,0,9
578.3447,0,10
702.504761,0,11
4760.49854,1,12
4496.45654,1,13
4696.77246,1,14
603.2283,0,15
4451.151,1,16
4365.035,1,17
673.2496,0,18
707.643433,0,19
4525.607,1,20
646.879333,0,21
718.9121,0,22
682.704,0,23
620.1214,0,24
597.758545,0,25
3677.34839,1,26
678.389832,0,27
4519.278,1,28
677.566467,0,29
603.678467,0,30
4683.025,1,31
4697.43,1,32
4705.68,1,33
583.7243,0,34
580.8922,0,35
613.9233,0,36
4711.7583,1,37
4621.6333,1,38
548.3664,0,39
666.7612,0,40
634.396545,0,41
4544.25537,1,42
4764.65039,1,43
4888.46045,1,44
4991.62842,1,45
4962.62158,1,46
702.7736,0,47
4741.64355,1,48
657.7171,0,49
4827.00146,1,50
4692.7334,1,51
743.0285,0,52
648.7207,0,53
517.845,0,54
663.255249,0,55
4626.21338,1,56
601.84375,0,57
641.757141,0,58
620.498535,0,59
704.2534,0,60
641.785,0,61
659.4885,0,62
4941.02344,1,63
4739.811,1,64
651.617,0,65
680.435059,0,66
653.0795,0,67
629.2435,0,68
641.933,0,69
552.0188,0,70
664.2896,0,71
592.102234,0,72
4656.004,1,73
4402.36768,1,74
703.9759,0,75
641.622,0,76
4769.08447,1,77
714.8224,0,78
731.506653,0,79
4758.93066,1,80
4822.53467,1,81
659.6608,0,82
707.4465,0,83
618.145264,0,84
664.493042,0,85
745.2704,0,86
682.420349,0,87
728.6246,0,88
4893.20654,1,89
4635.03955,1,90
4861.96973,1,91
4690.164,1,92
653.3903,0,93
660.906433,0,94
4842.1,1,95
659.2445,0,96
552.1049,0,97
4539.74561,1,98
4967.92041,1,99
641.151062,0,100
672.0699,0,101
4600.978,1,102
524.6986,0,103
706.192261,0,104
4867.1543,1,105
4538.146,1,106
646.6658,0,107
5038.61328,1,108
4755.96631,1,109
4780.231,1,110
525.689941,0,111
4446.086,1,112
669.235046,0,113
4620.96143,1,114
584.308655,0,115
4940.86865,1,116
