Ch1,Ch2,Cluster,droplet
11581.88,8182.077,11,1
3941.297,7570.578,1,2
4076.626,7215.239,1,3
11166.67,7595.98,11,4
11350.08,8071.97,11,5
4479.403,7356.736,1,6
11076.28,7574.878,11,7
11259.16,7383,11,8
4103.187,7840.864,1,9
4088.805,7967.47,1,10
4190.247,7517.674,1,11
3853.296,7180.82,1,12
11194.05,7526.379,11,13
10856.11,7838.256,11,14
4210.924,7751.924,1,15
11366.34,8218.454,11,16
11444.86,8447.067,11,17
3955.473,8496.108,1,18
4131.363,7939.76,1,19
11637.78,2110.481,10,20
4163.956,2225.012,0,21
11462.39,2227.831,10,22
4354.081,7961.908,1,23
4153.894,2137.209,0,24
4041.357,7821.223,1,25
4043.908,7792.882,1,26
11027.76,7690.172,11,27
10278.06,7507.03,11,28
3951.347,7242.852,1,29
3901.205,7736.32,1,30
3967.782,7625.792,1,31
3940.322,7902.122,1,32
3916.409,7275.329,1,33
4348.69,7185.763,1,34
3822.334,7397.103,1,35
10785.67,2056.349,10,36
11002.88,7772.477,11,37
11189.21,7047.932,11,38
11136.49,7844.424,11,39
4025.09,8481.638,1,40
4125.167,7686.882,1,41
4323.987,7730.751,1,42
11188.06,8145.071,11,43
10677.2,7774.75,11,44
9735.136,8093.773,11,45
10797.35,8031.68,11,46
4082.012,7470.972,1,47
11084.59,7925.158,11,48
4031.119,7448.217,1,49
4095.302,7231.624,1,50
10773.27,7246.474,11,51
10933.62,7528.799,11,52
10838.85,7793.79,11,53
3899.776,7397.999,1,54
4113.298,7317.543,1,55
10777.18,2219.366,10,56
11515.33,7948.85,11,57
11461.26,7696.245,11,58
4087.088,2015.535,0,59
10930.09,7221.869,11,60
4034.13,7572.468,1,61
10997.31,7610.766,11,62
4054.512,7714.854,1,63
4115.489,7945.276,1,64
3998.636,7505.804,1,65
10499.41,7352.163,11,66
4092.302,7562.253,1,67
4111.773,8077.889,1,68
4022.257,8002.64,1,69
4076.103,8032.233,1,70
10640.5,7142.444,11,71
10935.13,7457.699,11,72
4021.399,7299.82,1,73
11492.18,8534.302,11,74
11631.73,7752.407,11,75
4032.654,7797.124,1,76
4023.257,7360.956,1,77
10997.63,7982.635,11,78
4032.8,7914.293,1,79
3995.503,7315.719,1,80
4006.9,8074.786,1,81
4047.484,7655.071,1,82
10948.01,7487.955,11,83
4006.507,7743.275,1,84
4023.108,7661.216,1,85
4038.723,1945.067,0,86
11546.33,7746.043,11,87
4008.752,8456.66,1,88
3948.278,7719.563,1,89
4240.723,2140.009,0,90
11416.96,2097.987,10,91
11312.96,7931.468,11,92
3936.684,7936.265,1,93
11772.09,8318.25,11,94
4019.444,7550.539,1,95
4075.076,7510.812,1,96
11025.24,7788.333,11,97
11056.75,8045.567,11,98
10137.91,7743.834,11,99
10863.82,7660.395,11,100
11630.28,7996.468,11,101
4090.984,7855.585,1,102
3916.933,8385.229,1,103
4001.673,7848.296,1,104
3947.767,7693.16,1,105
10722.38,1866.228,10,106
4335.195,7653.7,1,107
10791,1977.171,10,108
4049.71,8125.893,1,109
4377.832,7749.53,1,110
11714.42,2101.19,10,111
3977.619,7887.968,1,112
10772.15,7520.84,11,113
3979.622,7851.707,1,114
11104.64,7391.844,11,115
3997.511,7572.69,1,116
11736.33,8205.744,11,117
3999.594,8264.165,1,118
4036.54,2033.37,0,119
10902.84,7513.238,11,120
12023.49,8123.657,11,121
3941.867,8097.588,1,122
11804.57,8483.183,11,123
4317.573,7650.943,1,124
3953.563,7722.596,1,125
3849.458,7918.873,1,126
3998.082,7998.154,1,127
4001.787,2133.7,0,128
3929.639,7970.632,1,129
4010.098,7629.842,1,130
4038.488,7599.684,1,131
11257.94,7689.977,11,132
4034.736,7923.31,1,133
3921.272,7929.594,1,134
11426.69,7762.234,11,135
4116.192,7084.919,1,136
3902.241,7839.172,1,137
