Ch1,Ch2,Cluster_1_2,droplet
4253.775,7435.819,1,1
4026.725,7443.839,1,2
4117.436,7367.093,1,3
4159.987,2105.978,0,4
4217.187,2069.772,0,5
4063.476,1926.967,0,6
4161.449,2005.017,0,7
3955.244,7423.808,1,8
4142.862,2117.904,0,9
4061.33,7358.356,1,10
4004.862,7706.982,1,11
4002.602,7418.729,1,12
4087.094,1971.976,0,13
3931.229,8055.767,1,14
4006.131,8046.686,1,15
3964.366,8117.852,1,16
4012.73,7073.583,1,17
4002.296,7342.562,1,18
4010.27,7867.914,1,19
4038.457,2016.198,0,20
4127.88,8017.615,1,21
3884.717,7726.47,1,22
4112.374,7940.322,1,23
4048.438,1993.454,0,24
3933.428,7332.377,1,25
4280.572,2194.228,0,26
3933.573,7761.347,1,27
3997.593,7901.387,1,28
4121.665,2258.452,0,29
4020.309,8010.637,1,30
3987.914,7076.472,1,31
4019.852,2089.304,0,32
4164,7213.783,1,33
3949.94,7848.98,1,34
4294.033,7377.113,1,35
4351.978,2093.459,0,36
3830.765,1876.397,0,37
4107.633,2046.029,0,38
3995.063,2119.702,0,39
4164.031,2117.902,0,40
4348.442,2250.38,0,41
4031.796,7986.901,1,42
4179.431,2053.497,0,43
3921.486,7837.654,1,44
4097.014,1942.167,0,45
3933.651,7088.336,1,46
4317.842,2252.532,0,47
3969.622,7909.327,1,48
4189.721,2218.322,0,49
4077.065,1919.264,0,50
3912.778,7371.503,1,51
3931.542,7296.496,1,52
4275.546,2114.705,0,53
3957.713,7719.238,1,54
4113.662,2065.629,0,55
3880.909,6853.776,1,56
3929.442,7261.433,1,57
3879.622,6879.796,1,58
4049.747,8185.33,1,59
3912.598,7280.92,1,60
4047.772,7667.842,1,61
4432.515,7342.84,1,62
4139.989,1999.183,0,63
4058.713,7255.951,1,64
4204.952,6387.711,1,65
3994.792,7923.767,1,66
4397.563,2174.308,0,67
3915.427,7662.077,1,68
4017.729,7090.669,1,69
4089.39,2002.333,0,70
3940.6,7325.951,1,71
4528.476,2218.225,0,72
4109.051,7415.056,1,73
4080.629,1932.539,0,74
3963.554,6781.644,1,75
4099.25,1932.701,0,76
3926.672,7208.28,1,77
3933.165,7253.913,1,78
3870.91,7625.484,1,79
4028.097,8570.22,1,80
4143.567,2135.65,0,81
4023.185,7508.364,1,82
4066.976,7765.743,1,83
4328.94,7258.075,1,84
3985.829,7670.526,1,85
